3830
MW054977	2016-10-11
MW054978	2017-01-05
MW054979	2016-11-16
MW054980	2016-10-13
MW054981	2016-12-12
MW054982	2016-10-21
MW054983	2017-01-02
MW054984	2017-02-07
MW054985	2016-10-15
MW054986	2017-06-14
MW054987	2017-03-22
MW054988	2017-05-01
MW054989	2018-03-04
MW054990	2018-05-24
MW054991	2018-05-10
MW054992	2017-07-30
MW054993	2018-02-19
MW054994	2017-07-29
MW054995	2017-03-06
MW054996	2017-06-24
MW054997	2017-06-05
MW054998	2017-05-22
MW054999	2017-02-13
MW055000	2016-12-29
MW055001	2017-01-12
MW055002	2017-06-06
MW055003	2016-10-22
MW055004	2017-05-26
MW055005	2017-01-11
MW055006	2016-12-26
MW055007	2017-04-25
MW055008	2017-04-18
MW055009	2018-01-17
MW055010	2016-12-30
MW055011	2017-01-09
MW055012	2017-01-01
MW055013	2017-04-18
MW055014	2016-11-14
MW055015	2017-03-16
MW055016	2018-02-16
MW055017	2018-04-22
MW055018	2018-03-17
MW055019	2017-10-25
MW055020	2018-04-26
MW055021	2017-09-11
MW055022	2017-09-28
MW055023	2018-03-04
MW055024	2017-03-02
MW055025	2018-06-08
MW055026	2018-01-30
MW055027	2018-01-10
MW055028	2017-09-24
MW055029	2018-02-26
MW055030	2018-01-17
MW055031	2017-01-24
MW055032	2017-12-22
MW055033	2016-10-26
MW055034	2017-12-18
MW055035	2018-01-04
MW055036	2017-03-29
MW055037	2017-01-10
MW055038	2016-09-26
MW055039	2018-02-03
MW055040	2016-10-21
MW055041	2017-03-10
MW055042	2018
MW055043	2018
MW055044	2018
MW055045	2018
MW055046	2018
MW055047	2018
MW055048	2018
MW055049	2018
MW055050	2018
MW055051	2018
MW055052	2018
MW055053	2018
MW055054	2018
MW055055	2018
MW055056	2018
MW055057	2018
MW055058	2017
MW055059	2017
MW055060	2017
MW055061	2017
MW055062	2017
MW055063	2018
MW055064	2017
MW055065	2018
MW055066	2017
MW055067	2018
MW055068	2018
MW055069	2018
MW055070	2018
MW055071	2018
MW055072	2017
MW055073	2017
MW055074	2017
MW055075	2017
MW055076	2017
MW055077	2017
MW055078	2017
MK124746	2017-05-04
MK124747	2017-11-17
MK124748	2017-12-11
MK124749	2017-12-09
MK124750	2018-03-26
MK124751	2018-03-27
MK124752	2018-04-01
MK124753	2018-06-06
MK124754	2018-07-12
MK124755	2018-05-20
MK124756	2018-05-20
MK124758	2017-07-20
LC571945	2006
MN602878	2017
MN602879	2017
MN602880	2017
MT454631	2015
MT454632	2015
MT454633	2015
MT454634	2015
MT454635	2015
MT454636	2016
MT454637	2016
MT454638	2016
MT454639	2016
MT454640	2016
MT454641	2016
MT454642	2016
MT454643	2017
MT454644	2017
MT454645	2017
MT454646	2017
MT454647	2017
MT454648	2017
MT454649	2017
MT454650	2017
MT454651	2017
MT454652	2017
MT454653	2017
MT454654	2017
MN418166	2018-04-03
MK598338	2006
MK598339	2007
MK598340	2007
MK598341	2008
MK598342	2009
MK598343	2008
MK598344	2009
MK598345	2010
MK598346	2010
MK598347	2016
MK598348	2017
MK598349	2017
MK598350	2017
MK598351	2013
MK598352	2013
MK598353	2013
MK598354	2013
MK598355	2013
MK598356	2013
MK598357	2013
MK598358	2013
MK598359	2013
MK598360	2013
MK598361	2013
MK598362	2013
MK598363	2013
MK598364	2013
MK598365	2014
MK598366	2014
MK598367	2014
MK598368	2014
MK598369	2014
MK598370	2014
MK598371	2014
MK598372	2014
MK598373	2014
MK598374	2014
MK598375	2014
MK598376	2014
MK598377	2014
MK598378	2014
MK598379	2014
MK598380	2013
MK598381	2013
MK598382	2013
MK598383	2013
MK598384	2013
MK598385	2013
MK598386	2013
MK598387	2013
MK598388	2013
MK598389	2013
MK598390	2014
MK598391	2014
MK598392	2014
MK598393	2014
MK598394	2014
MK598395	2014
MK598396	2014
MK598397	2014
MK598398	1996
MT036061	2017-11
MT036062	2018-01
MT036063	2019-10
MN534894	2018
MN534895	2019
MN534896	2018
MN534897	2018
MN233898	1989
MN233899	2007
MN233900	2007
MN233901	2008
MN233902	2008
MN233903	2005
MN233904	2012
MN233905	2012
MN233906	1996
MN233907	1996
MN233908	1996
MN233909	1996
MN233910	1996
MN233911	1996
MN233912	1996
MN233913	2002
MN233914	2002
MN233915	2002
MN233916	2003
MN233917	2003
MN233918	2003
MN233919	2003
MN233920	2004
MN233921	2004
MN233922	2004
MN233923	2004
MN233924	2012
MN233925	2012
MN233926	2012
MN233927	2012
MN233928	2012
MN233929	2012
MN233930	2012
MN233931	2012
MN233932	2012
MN233933	2012
MN233934	2012
MN233935	2012
MN233936	2012
MN233937	2015
MN233938	2015
MN233939	2015
MN233940	2015
MN233941	2015
MN233942	2015
MN233943	2015
MN233944	2015
MN233945	2015
MN233946	2015
MN233947	1990
MN233948	1990
MN233949	1990
MN233950	1992
MN233951	1993
MN233952	1993
MN233953	1993
MN233954	1993
MN233955	1993
MN233956	1993
MN233957	1993
MN233958	1994
MN233959	1997
MN233960	1998
MN233961	2000
MN233962	2000
MN233963	2001
MN233964	2005
MN233965	2006
MN233966	2006
MN233967	2007
MN233968	2008
MN233969	2008
MN233970	2012
MN233971	2012
MN233972	2012
MN233973	2013
MN233974	1999
MN233975	1999
MN233976	2002
MN233977	2002
MN233978	2004
MN233979	2005
MN233980	2005
MN233981	2005
MN233982	2006
MN233983	2006
MN233984	2006
MN233985	2007
MN233986	2007
MN233987	2007
MN233988	2008
MN233989	2008
MN233990	2012
MN233991	2012
MN233992	2012
MN233993	2012
MN233994	2013
MN233995	2013
MN233996	2013
MN233997	2013
MN233998	2014
MN233999	2015
MN234000	2015
MN234001	2015
MN234002	2015
MN234003	2015
MN234004	2015
MN234005	2015
MN234006	2015
MN234007	2016
MN234008	2017
MN234009	2017
MN234010	2017
MN234011	2017
MN234012	2017
MN234013	1995
MN234014	2000
MN234015	2013
MN234016	1993
MN234017	1996
MN234018	1999
MN234019	2000
MN234020	2000
MN234021	2000
MN234022	2001
MN234023	2002
MN234024	2003
MN234025	2003
MN234026	2003
MN234027	2004
MN234028	2004
MN234029	2004
MN234030	2004
MN234031	2009
MN234032	2009
MN234033	2009
MN234034	2009
MN234035	2009
MN234036	2012
MN234037	2012
MN234038	2012
MN234039	2012
MN234040	2012
MN234041	2012
MN234042	2012
MN234043	2012
MN234044	2012
MN234045	2012
MN234046	2012
MN234047	2012
MN234048	2012
MN234049	2012
MN234050	2012
MN234051	2015
MN234052	2015
MN234053	2015
MN234054	2015
MN234055	2017
MN234056	2017
MN175989	2019
MN857167	2019-06-26
MN857168	2019-05-28
MN857169	2019-05-31
MN857170	2019-05-27
MN857171	2019-05-06
MK467461	1994-01-03
MK467462	1994-06-24
MK467463	1994-10-05
MK467464	1996-06-12
MK467465	1997-02-07
MK467466	1998-05-07
MK467467	2000-05-09
MK467468	2000-05-11
MK467469	2000-09-08
MK467470	2000-09-14
MK467471	2001-03-13
MK467472	2004-01-16
MK467473	2006-01-31
MK467474	2006-03-06
MK467475	2006-06-05
MK467476	2006-07-04
MK467477	2006-07-17
MK467478	2007-03-06
MK467479	2007-05-08
MK467480	2009-04-17
MK467481	2009-07-01
MK467482	2009-07-31
MK467483	2011-10-17
MK467484	2011-12-05
MK467485	2013-01-21
MK467486	2013-04-19
MK467487	2013-05-10
MK467488	2014-01-21
MK467489	2014-07-23
MK467490	2014-09-01
MK467491	2014-10-21
MK467492	2015-03-16
MK467493	2015-06-01
MK467494	2015-06-29
MK467495	2015-06-30
MK467496	2015-07-07
MK467497	2015-09-08
MK467498	2015-11-25
MK467499	2016-02-11
MK467500	2016-02-15
MK467501	2016-02-22
MK467502	2016-02-25
MK467503	2016-04-25
MK467504	2016-04-29
MK467505	2016-06-06
MK467506	2016-08
MK467507	2016-07-08
MK467508	2016-08-08
MK467509	2016-08-22
MK467510	2017-06-05
MK467511	2017-07-25
MK467512	2017-07-28
MK467513	2016-05-25
MK467514	2016-07-18
MK467515	2016-07-18
MK467516	2016-07-26
MK467517	2016-08-13
MK467518	2016-09-16
MK467519	2017-05-15
MK467520	2017-07-12
MK467521	2017-07-14
MN186249	2018
MN186250	2018
MN099706	2017-04-25
MN075931	1999
MN756793	2017-05-24
MH671332	2017
MG099711	2016-08-01
MN726804	2015
MN726805	2017
MN726808	2016
MN726812	2017
MN726814	2018
MN726815	2015
MN726816	2018
MN726817	2016
MN726818	2015
MN726819	2013
MN726820	2017
MN726821	2018
MN726824	2016
MN726825	2015
MN726826	2016
MN726827	2017
MN726830	2018
MN726831	2013
MN726833	2017
MN726835	2017
MN726836	2013
MN726837	2013
MN726838	2013
MN726839	2015
MN726840	2015
MN726841	2014
MN726842	2019
MN726843	2012
MN726845	2012
MN726846	2015
MN726847	2017
MN726848	2016
MN726851	2014
MN726852	2018
MN726853	2012
MN726854	2015
MN726855	2016
MN726857	2016
MN726858	2016
MN726859	2015
MN726860	2018
MN726861	2015
MN726862	2013
MN726863	2015
MN726864	2016
MN726865	2014
MN726866	2014
MN726867	2012
MN726868	2016
MN726869	2013
MN726871	2013
MN726873	2014
MN726874	2012
MN726875	2018
MN726876	2018
MN726877	2015
MN726879	2012
MN726880	2019
MN726881	2015
MN726882	2019
MK483135	2016-04-24
MK483136	2016-04-25
MK507724	2015-04-25
MK507725	2015-04-25
MK507726	2015-04-25
MK507727	2016-04-16
MK507728	2016-04-04
MK507729	2015-04-17
MK507730	2016-04-20
MN166229	2017-05-24
MK111075	2015
MK689674	2017-10-15
MK689675	2017-10-15
MK689676	2017-10-15
MK760667	2008-01-15
MK760668	2008-01-29
MK760669	2008-01-30
MK760670	2008-01-24
MK760671	2008-03-04
MK760672	2008-03-01
MK760673	2008-03-22
MK760674	2008-06-02
MK760675	2008-11-30
MK760676	2009-01-13
MK760677	2009-02-01
MK760678	2009-02-26
MK760679	2008-04-23
MK760680	2008-04-23
MK760681	2009-03-25
MK760682	2009-04-06
MK760683	2009-09-14
MK760684	2009-03-29
MK760685	2009-04-08
MK760686	2009-12-20
MK760687	2009-04-11
MK760688	2009-04-20
MK760689	2010-01-18
MK760690	2010-03-06
MK760691	2009-04-25
MK760692	2009-05-12
MK760693	2009-05-17
MK760694	2009-05-13
MK760695	2011-01-08
MK760696	2012-06-20
MK760697	2012-06-20
MK760698	2012-06-26
MK760699	2012-06-26
MK760700	2012-07-02
MK760701	2012-10-03
MK760702	2012-10-29
MK760703	2012-11-18
MK760704	2012-12-01
MK760705	2012-12-12
MK760706	2012-12-29
MK760707	2012-05-19
MK760708	2012-06-10
MK760709	2012-10-19
MK760710	2013-07-01
MK760711	2013-07-08
MK760712	2013-07-23
MK760713	2013-04-10
MK760714	2013-08-03
MK760715	2013-08-03
MK760716	2013-04-10
MK760717	2013-08-07
MK760718	2013-08-14
MK760719	2013-09-04
MK760720	2013-09-29
MK760721	2013-10-21
MK760722	2013-04-20
MK760723	2013-11-19
MK760724	2013-11-26
MK760725	2013-12-18
MK760726	2013-12-23
MK760727	2013-12-29
MK760728	2014-01-08
MK760729	2014-01-08
MK760730	2014-01-13
MK760731	2014-01-20
MK760732	2014-01-25
MK760733	2014-01-28
MK760734	2013-05-07
MK760735	2014-02-24
MK760736	2014-02-25
MK760737	2013-05-07
MK760738	2014-03-02
MK760739	2013-06-08
MK760740	2013-06-08
MK760741	2013-06-08
MK760742	2014-03-01
MK760743	2014-06-28
MK760744	2014-05-31
MK760745	2014-07-06
MK760746	2014-07-26
MK760747	2014-08-10
MK760748	2014-04-04
MK760749	2014-04-14
MK760750	2014-08-31
MK760751	2014-08-14
MK760752	2014-09-27
MK760753	2014-10-01
MK760754	2014-04-19
MK760755	2014-04-23
MK760756	2014-11-15
MK760757	2014-11-16
MK760758	2014-12-04
MK760759	2014-12-27
MK760760	2014-05-03
MK760761	2014-05-12
MK760762	2014-05-14
MK760763	2014-05-25
MK760764	2014-06-07
MK760765	2014-06-08
MK760766	2015-10-04
MK760767	2015-12-01
MK760768	2007
MK760769	2009
MK760770	2009
MK622903	2017
MK622904	2017
MK622905	2018
MK622906	2018
MK622907	2018
MK622908	2018
MK840986	2018
MK540887	1990
MK540888	1990
MK540889	1990
MK540890	1990
MK540891	1990
MK540892	1990
MK540893	1991
MK540894	1991
MK540895	1991
MK540896	1991
MK540897	1991
MK540898	1991
MK540899	1991
MK540900	1991
MK540901	1991
MK540902	1993
MK540903	1993
MK540904	1993
MK540905	1993
MK540906	1995
MK540907	1995
MK540908	1995
MK540909	1995
MK540910	1995
MK540911	1995
MK540912	1995
MK540913	1996
MK540914	1996
MK540915	1996
MK540916	1996
MK540917	1996
MK540918	1996
MK540919	1996
MK540920	1997
MK540921	1998
MK540922	1998
MK540923	1998
MK540924	1998
MK540925	1998
MK540926	1998
MK540927	1999
MK540928	1999
MK540929	1999
MK540930	1999
MK540931	1999
MK540932	1999
MK540933	1999
MK540934	1999
MK540935	1999
MK540936	2000
MK540937	2000
MK540938	2000
MK540939	2000
MK540940	2000
MK540941	2000
MK540942	2000
MK540943	2000
MK540944	2000
MK540945	2000
MK540946	2001
MK540947	2001
MK540948	2001
MK540949	2001
MK540950	2001
MK540951	2001
MK540952	2001
MK540953	2001
MK540954	2001
MK540955	2001
MK540956	2002
MK540957	2002
MK540958	2002
MK540959	2002
MK540960	2003
MK540961	2003
MK540962	2003
MK540963	2003
MK540964	2004
MK540965	2004
MK540966	2004
MK540967	2005
MK540968	2005
MK540969	2005
MK540970	2005
MK540971	2006
MK540972	2006
MK540973	2006
MK540974	2006
MK540975	2006
MK540976	2006
MK540977	2006
MK540978	2007
MK540979	2007
MK540980	2007
MK540981	2008
MK540982	2008
MK540983	2008
MK540984	2008
MK540985	2008
MK540986	2008
MK540987	2009
MK540988	2009
MK540989	2009
MK540990	2009
MK540991	2009
MK540992	2009
MK540993	2010
MK540994	2011
MK540995	2011
MK540996	2012
MK540997	2012
MK540998	2015
MK540999	2016
MK541000	2017
MK541001	2017
MK541002	2017
MK541003	2017
MK541004	2017
MK541005	2017
MK541006	2017
MK541007	2017
MK541008	2017
MK541009	2018
MK541010	2018
MK541011	2018
MK541012	2000
LC380161	1999
LC380162	1999
LC380163	1999
LC380164	2014
LC380165	2014
LC380166	2015
LC380167	2015
LC380168	2015
LC380169	2013
LC380170	2014
LC380171	2013
LC380172	2003
LC380173	2000
LC380174	2005
LC380175	2006
LC380176	2014
LC380177	2014
LC380178	2013
LC380179	2013
LC380180	2012
LC380181	2012
LC380182	2013
LC380183	2013
LC380184	2012
LC380185	2014
LC380186	2013
LC380187	2012
LC380188	2014
LC380189	2014
LC380190	2013
LC380191	2014
LC380192	2014
LC380193	2014
LC380194	2014
LC380195	2001
LC380196	2013
LC380197	1999
LC380198	2015
LC380199	2015
LC380200	2007
LC380201	2013
LC380202	2005
LC380203	2014
LC380204	2015
LC380205	2013
LC380206	2000
LC380207	2014
LC380208	2014
LC380209	2014
LC380210	2013
LC380211	2000
LC380212	2000
LC380213	2014
LC380214	2015
LC380215	2014
LC380216	2015
LC380217	2014
LC380218	2014
LC380219	2015
LC380220	2014
LC380221	2014
LC380222	2014
LC380223	2014
LC380224	2014
LC380225	2014
LC380226	2014
LC380227	2014
LC380228	2014
LC380229	2014
LC380230	2014
LC380231	2014
LC380232	2014
LC380233	2014
LC380234	2014
LC380235	2014
LC380236	2014
MK981888	1993
MK161043	2018-10-22
MK471249	2018-10-11
MK471250	2018-10-29
MK471251	2018-10-28
KY912036	2014
KY952219	2014
KY952220	2016
KY964322	2016
KY964323	2016
KY982922	2014
KY982923	2012
KY997452	2014
MK567666	2013-03
MK577649	2015-05
MH660455	2017
KY175229	2012
KY175230	2015
MH460408	2017-11-14
MH460409	2017-12-01
LC456087	2011
LC456088	2011
LC456089	2012
LC456090	2012
LC456091	2012
LC456092	2012
LC456093	2012
LC456094	2012
LC456095	2013
LC456096	2014
LC456097	2015
LC456098	2015
LC456099	2016
LC456100	2016
LC456101	2016
LC456102	2016
LC456103	2016
LC456104	2016
LC456105	2016
LC456106	2017
LC456107	2017
LC456108	2017
LC456109	2017
MG383889	2016-01-07
MG383890	2016-04-25
MG383891	2016-02-14
MG383892	2016-01-10
MG383893	2016-06-14
MG383894	2016-06-16
MG383895	2017-03-27
MG383896	2017-03-27
MF425791	2014
MF425792	2014
MF425793	2014
MF425794	2014
MF425795	2014
MF425796	2014
MF425797	2014
MF425798	2014
MF425799	2014
MF425800	2014
MF425801	2014
MF425802	2014
MF425803	2015
MF425804	2015
MF425805	2015
MF425806	2015
MF425807	2015
MF425808	2015
MF425809	2015
MF425810	2015
MF425811	2015
MF425812	2015
MF425813	2016
KY681372	2012
MH481708	2018
MH481709	2018
MH481710	2017
MG013986	2016
MG013987	2016
MG025806	2016
MG025807	2016
MG025808	2016
MG025809	2016
MG025810	2016
MG025811	2016
MG025812	2016
MG025813	2016
MG025814	2016
MG025815	2016
MG025816	2016
MG025817	2016
MG025818	2016
MG025819	2016
MG025820	2016
MG025821	2016
MG025822	2016
MG025823	2016
MG201897	2010-11-16
MG201898	2012-02-11
MG201899	2012-02-18
MG201900	2011-12-12
MG201901	2010-05-15
MG201902	2010-09-08
MG201903	2012-03-09
MG201904	2010-11-16
MG201905	2010-11-16
MG201906	2010-11-16
MG201919	2011-12-06
MG201920	2010-10-09
MG201921	2012-03-05
MG201922	2012-05-08
MG201923	2003-02-12
MH258790	2014
MH258791	2014
MH258792	2014
MH258793	2014
MH258794	2014
MH258795	2014
MH258796	2014
MH258797	2014
MH258798	2014
MH258799	2014
MH258800	2014
MH258801	2014
MH258802	2014
MH258803	2014
MH258804	2014
MH258805	2014
MH258806	2014
MH258807	2014
MH258808	2014
MH258809	2014
MH258810	2014
MH258811	2014
MH258812	2014
MH258813	2014
MH258814	2014
MH258815	2014
MG011654	2016-07-16
MG211164	2016
MG211165	2016
MG211166	2016
MG211167	2016
MG211168	2016
MG211169	2016
MG211170	2016
MG211171	2016
MG211172	2016
MG211173	2016
MG211174	2016
MG211175	2016
MH141794	2017
MH141795	2017
MH141796	2017
MH141797	2017
MH141798	2017
MH141799	2017
MH141800	2017
MH141801	2017
LC068916	2013-02
LC068917	2013-09
LC068918	2013-10
LC068919	2013-07
LC068920	2013-07
LC068921	2013-07
LC068922	2013-07
LC068923	2013-08
LC068924	2013-07
LC068925	2013-08
LC068926	2013-09
LC068927	2013-09
LC068928	2013-10
LC068929	2013-10
LC068930	2013-10
LC068931	2013-10
LC068932	2013-10
LC068933	2013-10
LC068934	2013-10
LC068935	2013-11
LC068936	2013-11
LC068937	2013-11
LC068938	2013-11
LC068939	2013-11
LC068940	2013-11
LC068941	2013-11
LC068942	2013-11
LC068943	2013-11
LC068944	2013-11
LC068945	2013-12
LC068946	2013-12
LC068947	2013-12
LC068948	2013-12
LC068949	2013-12
LC068950	2013-12
LC068951	2013-12
MG869105	2008
MG869106	2008
MG869107	2012
MG869108	2012
MG869109	2008
MG869110	2012
MG869111	2011
MG869112	2011
MG869113	2011
MG869114	2011
MG869115	2011
MG869116	2011
MG869117	2011
MG869118	2010
MG869119	2008
MG869120	2008
MG869121	2008
MG869122	2008
MG869123	2008
MG869124	2008
MH267792	2017
MF414577	2015
MF414578	2015
MF414579	2013
MF414580	2013
MF414581	2013
MF414582	2013
MF414583	2013
MF414584	2013
MF414585	2013
MF414586	2014
MF414587	2014
MF414588	2014
MF414589	2014
MF414590	2014
MF414591	2014
MF414592	2014
MF414593	2014
MF414594	2014
MF414595	2014
MF414596	2014
MF414597	2014
MF197741	2008-01
MF197742	2014-08
MF197743	2010-08
MF375722	2016
MF375723	2016
MF375724	2016
MF375725	2016
MF375726	2016
MF375727	2016
MF375728	2016
MF375729	2016
MF375730	2016
MF375731	2016
MF375732	2016
MF375733	2016
MF375734	2016
MF375735	2016
MF375736	2016
MF375737	2016
MF375738	2016
MF375739	2016
MF375740	2016
MF375741	2016
MF375742	2016
MF375743	2016
MF375744	2016
MF375745	2016
MF375746	2016
MF375747	2016
MF375748	2016
MF375749	2016
MF375750	2016
MF375751	2016
MF375752	2016
MF375753	2016
MF476106	2015
MG310207	2013
MG310208	2013
MG310209	2013
MG310210	2013
MG310211	2013
MG310212	2013
MG310213	2013
MG310214	2014
MG310215	2014
MG310216	2014
MG310217	2014
MG310218	2014
MG310219	2015
MG310220	2015
MG310221	2015
KY860583	1999
KY860584	1999
KY860585	2001
KY860586	2001
KY860587	2001
KY860588	2004
KY860589	2006
KY860590	2007
KY860591	2008
KY860592	2009
KY860593	2010
KY860594	2012
KY860595	2012
KY860596	2014
KY860597	2014
KY860598	2014
KY860599	2014
KY860600	2014
KY860601	2014
KY860602	2014
KY860603	2015
KY860604	2000
KY860605	2001
KY860606	2001
KY860607	2001
KY860608	2001
KY860609	2001
KY860610	2001
KY860611	2001
KY860612	1989
KY860613	1989
MG458307	2000
MG458308	2000
MG458309	1978
MG458310	1986
MG458311	1998
MG458312	1997
MG458313	1996
MG458315	1998
MG458316	1998
MG458317	1999
MG458318	2008
MG458319	2012
MG458320	2012
KY553273	1994
KY553274	2005
KY553275	2006
KY553276	2000
KY553277	1997
KY553278	1991-08-10
KY553279	1992
KY553280	1990-09-25
KY553281	1991
KY553282	1991-10-21
KY553283	1996
KT861554	2013-12
KT861555	2014-03
KT861556	2014-04
KT861557	2014-05
KT861558	2014-08
KT861559	2014-09
KT861560	2014-09
KT861561	2014-06
KT861562	2014-06
KT861563	2014-06
KT861564	2014-06
KT861565	2014-06
KT861566	2014-11
KT861567	2014-11
KT861568	2014-11
KT861569	2014-11
KT861570	2014-12
KT861571	2014-12
KT861572	2014-12
KT861573	2014-12
KT861574	2015-06
KT861575	2015-06
KT861576	2015-02
KT861577	2015-02
KT861578	2015-03
KT861579	2015-03
KT861580	2015-03
KT861581	2015-04
KT861582	2015-05
KT861583	2015-05
KT861584	2015-05
KT861585	2015-06
KT861586	2015-06
KX096983	2015-06
KX096984	2015-07
KX096985	2015-08
KX096986	2015-08
KX096987	2015-08
KX096988	2015-09
KX096989	2015-09
KX096990	2015-09
KX096991	2015-10
KY210220	2008-09-28
KY210221	2008-09-28
KY210222	2009-01-17
KY210223	2007-06-22
KY210224	2010-06-20
KY210225	2011-02-21
KY210226	2011-03-01
KY210227	2011-04-19
KY210228	2011-04-15
KY210229	2011-05-22
KY210230	2011-06-06
KY210231	2011-06-01
KY210232	2011-06-20
KY210233	2011-06-30
KY210234	2011-07-03
KY210235	2011-06-10
KY210236	2011-07-02
KY210237	2011-07-07
KY210238	2011-07-23
KY210239	2011-07-23
KY210240	2011-07-21
KY210241	2011-07-24
KY210242	2011-07-21
KY210243	2011-07-25
KY210244	2011-07-29
KY210245	2012-08-10
KY210246	2012-09-17
KY210247	2012-10-04
KY210248	2012-09-02
KY210249	2012-10-12
KY210250	2012-11-13
KY210251	2012-11-10
KY210252	2012-12-08
KY210253	2013-01-18
KY210254	2013-01-11
KY210255	2013-01-04
KY210256	2013-01-08
KY210257	2013-01-08
KY210258	2013-01-02
KY210259	2013-02-23
KY210260	2013-02-25
KY210261	2013-04-11
KY210262	2013-02-27
KY210263	2013-04-13
KY210264	2013-04-10
KY210265	2013-02-18
KY210266	2013-02-01
KY210267	2013-01-31
KY210268	2013-05-26
KY210269	2013-07-18
KY210270	2013-07-17
KY210271	2013-09-03
KY210272	2013-08-22
KY210273	2013-09-06
KY210274	2013-09-06
KY210275	2013-09-06
KY210276	2013-04-25
KY210277	2011-11-25
KY210278	2011-12-16
KY210279	2011-12-21
KY210280	2012-01-30
KY210281	2012-01-19
KY210282	2012-01-26
KY210283	2012-01-19
KY210284	2012-03-06
KY210285	2012-03-08
KY210286	2011-12-10
KY210287	2012-03-22
KY210288	2012-04-12
KY210289	2012-04-30
KY210290	2012-05-06
KY210291	2012-05-06
KY210292	2012-05-11
KY210293	2012-05-17
KY210294	2012-05-28
KY210295	2012-05-14
KY210296	2012-05-07
KY210297	2012-06-25
KY210298	2012-06-28
KY210299	2012-07-19
KY210300	2012-07-19
KY210301	2012-07-16
KY210302	2012-07-21
KY210303	2012-07-16
KY210304	2012-07-07
KY210305	2012-08-08
KY210306	2012-05-26
KY210307	2012-03-24
KY210308	2012-01-07
KY210309	2012-05-31
KY210310	2012-01-23
KY210311	2012-04-29
MF630920	2016-03
MF113388	2016
MF113389	2016
MF113390	2016
MF113391	2016
MF113392	2016
MF113393	2016
MF113394	2016
MF113395	2016
MF113396	2016
MF113397	2016
MF158976	2015
MF158977	2015
MF158978	2015
MF158979	2014
MF158980	2015
MF158981	2014
MF158982	2014
MF158983	2013
MF158984	2013
MF158985	2013
KX708499	2015
KX708500	2014
KX708501	2013
KX708502	2012
KX708503	2014
KX708504	2008
KY563715	1994
KY563716	1994
KY775603	2014
KY775604	2014
KU845615	2013-11-29
KU845616	2012-11-20
KU845617	2015-04-23
KU845618	2015-11-08
KU845619	2015-08-18
KU845620	2014-10-28
KY765901	2012-07-09
KX434478	2014
KX434479	2014
KX434480	2014
KX434481	2014
KX434482	2014
KX298486	2013
KX298488	2013
KX298490	2013
KX298492	2013
KX298494	2013
KX298496	2013
KX298498	2013
KX298500	2013
KX298502	2013
KX298504	2013
KX298516	2013
KX298517	2013
KX298518	2013
KX298519	2013
KX298520	2014
KX298521	2014
KX298522	2014
KX298523	2014
KX298524	2014
KX298525	2014
KX298526	2014
KX298527	2014
KX298528	2014
KX298529	2014
KX298530	2014
KX298531	2014
KX298532	2014
KX298533	2014
KX298534	2014
KX298535	2014
KX298536	2014
KX298537	2014
KX298538	2014
KX298539	2014
KX298540	2014
KX298541	2014
KX298542	2014
KX298544	2009
KX298545	2010
KX298546	2006
KX298547	2007
KX298548	2007
KX298549	2008
KX298550	2008
KX298551	2009
KX298552	2010
KY780299	2017-01-23
KX954123	2016
KY451767	2015
LN879480	2002
JQ040570	2010-12-24
JQ040571	2010-09-15
